id x y phenotype1 envi phenotype2 
0 0.63244 0.950018 0.0900422 0.377761 0.0900422
1 0.0135069 0.090601 1.36765 -0.729981 1.36765
2 0.65155 0.36102 0.416121 0.196168 0.416121
3 0.222711 0.454471 1.34086 0.249618 1.34086
4 0.0494685 0.301508 0.357906 -0.463839 0.357906
5 0.024434 0.385399 0.77799 -0.774203 0.77799
6 0.631327 0.949979 -0.13975 0.38215 -0.13975
7 0.171912 0.27876 1.32868 0.0238906 1.32868
8 0.988787 0.0416821 0.177562 -0.946052 0.177562
9 0.649738 0.764451 1.31277 0.609096 1.31277
10 0.249153 0.239303 0.997828 0.296685 0.997828
11 0.698192 0.143092 1.36013 -0.350942 1.36013
12 0.803058 0.69875 -0.827537 0.0440481 -0.827537
13 0.604485 0.139008 -0.0600413 -0.0142971 -0.0600413
14 0.653633 0.972313 1.39348 0.258147 1.39348
15 0.413205 0.7668 -0.112486 0.535348 -0.112486
16 0.991118 0.0339482 1.30446 -0.941494 1.30446
17 0.60826 0.121243 -0.270709 -0.0349092 -0.270709
18 0.661853 0.978556 1.82156 0.212605 1.82156
19 0.260775 0.612463 1.58883 0.261074 1.58883
20 0.908684 0.770036 0.677303 -0.764609 0.677303
21 0.40691 0.805124 1.07238 0.547041 1.07238
22 0.0111175 0.0958887 0.0126161 -0.733479 0.0126161
23 0.692864 0.1501 1.82899 -0.329672 1.82899
24 0.227256 0.00956549 1.32441 0.468581 1.32441
25 0.368719 0.102949 0.571963 0.41723 0.571963
26 0.253606 0.611111 1.52601 0.243969 1.52601
27 0.930519 0.794052 1.17547 -0.910762 1.17547
28 0.41344 0.756245 1.24561 0.527532 1.24561
29 0.980431 0.282108 1.34347 -1.21791 1.34347
30 0.696659 0.735572 -0.0152297 0.571896 -0.0152297
31 0.64159 0.956099 -0.448901 0.332995 -0.448901
32 0.726564 0.0160891 0.533235 -0.485022 0.533235
33 0.0150232 0.971991 0.00499655 -1.07742 0.00499655
34 0.258327 0.0112301 0.726398 0.597744 0.726398
35 0.661731 0.244192 -0.161537 -0.186075 -0.161537
36 0.249613 0.939514 0.884466 0.272367 0.884466
37 0.845887 0.393812 1.45723 -0.612351 1.45723
38 0.84448 0.32756 -0.0950227 -0.681439 -0.0950227
39 0.990089 0.0346903 0.363286 -0.94067 0.363286
40 0.49943 0.960445 1.16331 0.896503 1.16331
